SurveyName,Timestamp,email,In which country do you currently reside?,Country CODE,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis?",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding]
ANALYTICS SURVEY FEB-21,2020-10-28 04:38:12,elinnittcn@cocolog-nifty.com,Netherlands,NL,Mathematician,competent,expert,expert,none,expert,competent,none,expert,expert,competent,expert,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud;AWS,Google Cloud;AWS;Azure,Google Cloud,On-premise;AWS,AWS;Azure
ANALYTICS SURVEY RETAIL,2020-12-01 15:50:12,cblatcherco@naver.com,Indonesia,ID,Data Engineer,proficient,none,beginner,none,proficient,none,expert,expert,expert,expert,expert,3,Microsoft SQL Server,Google Cloud,Google Cloud;AWS;Azure,Azure,"Google Cloud;On-premise,AWS",On-premise;AWS,On-premise;Azure
ANALYTICS SURVEY FSI,2020-05-12 08:08:32,kkupeccp@thetimes.co.uk,Libya,LY,Statistician,competent,proficient,competent,expert,beginner,competent,competent,none,proficient,beginner,beginner,1,Teradata,Azure,AWS,Azure,Azure,"Google Cloud;On-premise,AWS",On-premise
ANALYTICS SURVEY FSI,2020-04-22 02:41:03,sdeshortscq@1und1.de,China,CN,Citizen Data Scientist,competent,proficient,competent,beginner,proficient,expert,none,beginner,competent,competent,competent,1,Microsoft SQL Server,Google Cloud,AWS;Azure,AWS Azure,Google Cloud;AWS;Azure,On-premise;AWS,On-premise;AWS
ANALYTICS SURVEY JAN-21,2020-11-17 04:02:57,nbailescr@huffingtonpost.com,Paraguay,PY,Citizen Data Scientist,competent,none,competent,none,beginner,expert,competent,competent,competent,competent,competent,3,Microsoft SQL Server,On-premise,AWS;Azure,AWS,"Google Cloud;On-premise,AWS",On-premise;AWS,AWS;Azure
ANALYTICS SURVEY JAN-21,2020-08-09 14:09:29,hwatmoughcs@apple.com,Canada,CA,Citizen Data Scientist,expert,none,competent,proficient,none,expert,competent,expert,beginner,expert,expert,4,Amazon Redshift,AWS,Azure,AWS,Azure,AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-03-26 04:00:35,kgoanect@ebay.co.uk,Netherlands,NL,Physicist,proficient,competent,competent,expert,beginner,beginner,competent,expert,none,proficient,beginner,1,Microsoft SQL Server,Azure,Google Cloud;AWS,Google Cloud;AWS,AWS;Azure,AWS;Azure,Google Cloud
ANALYTICS SURVEY,2020-06-07 08:51:45,xgoosnellcu@admin.ch,Portugal,PT,Citizen Data Scientist,beginner,proficient,competent,none,none,competent,none,beginner,beginner,none,expert,5,Amazon Redshift,Google Cloud,Azure,Google Cloud;AWS,On-premise;Azure,On-premise,Azure
ANALYTICS SURVEY FEB-21,2020-08-19 16:57:39,lkuliscv@elegantthemes.com,Burkina Faso,BF,Data Scientist,proficient,competent,proficient,proficient,none,beginner,competent,none,expert,competent,beginner,2,Microsoft SQL Server,Azure,Google Cloud;Azure,Google Cloud,Azure,AWS;Azure,AWS;Azure
ANALYTICS SURVEY FEB-21,2020-12-03 04:08:11,lbenwellcw@statcounter.com,Sweden,SE,Data Engineer,,proficient,expert,,expert,proficient,competent,beginner,,proficient,proficient,,Microsoft SQL Server,AWS,Google Cloud;Azure,,Google Cloud,,Google Cloud;AWS;Azure
ANALYTICS SURVEY JAN-21,2020-07-18 01:28:49,anewlancx@about.com,China,CN,Mathematician,none,proficient,beginner,expert,proficient,proficient,proficient,beginner,expert,competent,beginner,3,Amazon Redshift,Azure,Azure,AWS Azure,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS"
ANALYTICS SURVEY RETAIL,2020-02-20 11:41:15,mjeandoncy@google.com.br,Tanzania,TZ,Citizen Data Scientist,expert,expert,beginner,proficient,beginner,beginner,competent,beginner,competent,expert,none,4,Teradata,Google Cloud,Google Cloud;Azure,AWS Azure,Google Cloud,AWS,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY RETAIL,2020-09-27 12:25:02,shaycroftcz@guardian.co.uk,China,CN,Data Engineer,expert,proficient,expert,proficient,proficient,beginner,none,competent,competent,proficient,none,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,Google Cloud;Azure,AWS Azure,Azure,Google Cloud,AWS;Azure
ANALYTICS SURVEY JAN-21,2020-04-21 12:40:31,bpeppardd0@exblog.jp,Indonesia,ID,Data Analyst,beginner,beginner,expert,expert,beginner,beginner,none,beginner,competent,none,none,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud;AWS,AWS Azure,"Google Cloud;On-premise,AWS",On-premise,AWS
ANALYTICS SURVEY FEB-21,2020-07-07 00:36:47,rcatterilld1@plala.or.jp,Indonesia,ID,Data Scientist,expert,competent,competent,competent,expert,beginner,competent,proficient,none,proficient,beginner,2,Teradata,AWS,AWS;Azure,Google Cloud;AWS;Azure,On-premise;AWS,Google Cloud;AWS;Azure,On-premise;AWS
ANALYTICS SURVEY RETAIL,2020-10-15 21:31:18,fspellissyd2@webmd.com,Poland,PL,Physicist,competent,competent,beginner,expert,expert,none,expert,proficient,proficient,beginner,competent,4,Microsoft SQL Server,On-premise,Google Cloud;Azure,Google Cloud;AWS;Azure,AWS,"Google Cloud;On-premise,AWS",Google Cloud
ANALYTICS SURVEY,2020-03-06 11:36:05,pmcconnald3@wunderground.com,China,CN,Data Analyst,expert,proficient,none,beginner,beginner,expert,proficient,proficient,proficient,none,expert,2,Amazon Redshift,Azure,Google Cloud;AWS;Azure,Azure,On-premise,On-premise,On-premise;Azure
ANALYTICS SURVEY FSI,2020-11-17 00:58:42,ppollakd4@go.com,Thailand,TH,Data Engineer,beginner,none,proficient,beginner,beginner,none,expert,proficient,proficient,none,beginner,1,Microsoft SQL Server,Google Cloud,Azure,Google Cloud,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FSI,2020-09-01 03:34:38,psandesond5@symantec.com,Brazil,BR,Data Analyst,none,beginner,proficient,none,beginner,beginner,none,beginner,competent,beginner,expert,5,Google Cloud BigQuery,AWS,AWS,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS",Google Cloud;On-premise;Azure,AWS
ANALYTICS SURVEY,2020-05-17 16:51:31,hbickerdiked6@redcross.org,Bangladesh,BD,Physicist,expert,proficient,beginner,proficient,competent,none,expert,beginner,beginner,none,none,1,Amazon Redshift;Teradata,Google Cloud,Azure,Google Cloud,Google Cloud;On-premise;Azure,AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-08-08 16:48:59,akilbeed7@hibu.com,Indonesia,ID,Physicist,expert,expert,competent,beginner,beginner,beginner,none,none,beginner,beginner,none,1,Teradata,AWS,Google Cloud,Google Cloud;AWS;Azure,Azure,Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-08-27 02:18:20,cgolleyd8@ucoz.com,Costa Rica,CR,Statistician,beginner,expert,expert,competent,none,beginner,none,proficient,none,beginner,expert,4,Amazon Redshift,Azure,AWS;Azure,AWS Azure,AWS;Azure,"Google Cloud;On-premise,AWS",Google Cloud
ANALYTICS SURVEY,2020-06-10 06:53:43,agrinawayd9@eepurl.com,Russia,RU,Statistician,beginner,competent,proficient,beginner,proficient,proficient,proficient,proficient,proficient,expert,none,3,Amazon Redshift;Teradata,On-premise,Google Cloud;AWS,Google Cloud;AWS,Google Cloud;AWS;Azure,On-premise;AWS,On-premise
ANALYTICS SURVEY RETAIL,2020-09-12 21:58:50,cortlerda@kickstarter.com,Poland,PL,Statistician,beginner,beginner,proficient,proficient,proficient,beginner,beginner,expert,expert,expert,competent,1,Oracle Database,On-premise,AWS,Google Cloud;Azure,Google Cloud;On-premise;Azure,On-premise,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FSI,2020-02-25 15:08:38,wabeledb@pinterest.com,Portugal,PT,Data Engineer,beginner,none,expert,expert,beginner,none,proficient,proficient,competent,proficient,proficient,5,Microsoft SQL Server,AWS,AWS,AWS,"Google Cloud;On-premise,AWS",AWS,On-premise;AWS
ANALYTICS SURVEY,2020-05-03 17:31:22,cmawforddc@posterous.com,Latvia,LV,Data Engineer,proficient,beginner,proficient,competent,competent,beginner,beginner,beginner,expert,expert,expert,4,Teradata,AWS,Google Cloud,Google Cloud;AWS,AWS;Azure,Azure,AWS;Azure
ANALYTICS SURVEY FSI,2020-08-06 14:01:45,amagordd@cbsnews.com,Mongolia,MN,Data Analyst,competent,expert,none,proficient,expert,none,competent,none,expert,competent,proficient,5,Teradata,Google Cloud,Azure,Google Cloud;Azure,On-premise,Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-12-06 03:49:09,crosenfeldde@springer.com,China,CN,Citizen Data Scientist,beginner,proficient,proficient,beginner,beginner,none,competent,proficient,beginner,competent,competent,5,Microsoft SQL Server,Google Cloud,AWS,Azure,On-premise,Azure,On-premise
ANALYTICS SURVEY FSI,2020-02-18 12:24:58,owilcockesdf@statcounter.com,China,CN,Citizen Data Scientist,none,competent,beginner,none,expert,beginner,beginner,none,none,beginner,expert,5,Google Cloud BigQuery,On-premise,Google Cloud;AWS,Azure,AWS;Azure,On-premise,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FSI,2020-06-16 18:05:43,djohnseydg@comsenz.com,Russia,RU,Physicist,expert,competent,expert,expert,expert,none,none,none,beginner,expert,competent,2,Oracle Database,Azure,Google Cloud,AWS,AWS,Google Cloud;AWS;Azure,On-premise
ANALYTICS SURVEY FEB-21,2020-07-12 17:03:25,ksafhilldh@loc.gov,China,CN,Data Analyst,expert,beginner,expert,competent,beginner,none,expert,competent,proficient,expert,competent,5,Microsoft SQL Server,Google Cloud,Google Cloud;Azure,Azure,On-premise;AWS,Azure,On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-04-24 07:02:07,tgossingtondi@ehow.com,Mali,ML,Data Scientist,expert,competent,beginner,competent,none,competent,beginner,beginner,competent,expert,proficient,2,Amazon Redshift;Teradata,Azure,Azure,Azure,Google Cloud,Google Cloud,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FEB-21,2020-09-24 04:25:47,kmatiewedj@furl.net,France,FR,Physicist,none,none,none,beginner,beginner,proficient,proficient,expert,beginner,beginner,expert,1,Microsoft SQL Server,AWS,Google Cloud,Google Cloud;AWS,On-premise,On-premise;AWS,Azure
ANALYTICS SURVEY RETAIL,2020-05-26 07:54:07,lvauddk@1688.com,Bulgaria,BG,Mathematician,expert,competent,proficient,none,competent,none,none,none,proficient,competent,competent,5,Oracle Database,On-premise,Google Cloud,Google Cloud;AWS,"Google Cloud;On-premise,AWS",Azure,AWS
ANALYTICS SURVEY RETAIL,2020-08-22 02:08:34,gsuttydl@alexa.com,Indonesia,ID,Statistician,none,competent,competent,expert,proficient,expert,beginner,beginner,none,none,competent,5,Amazon Redshift;Google Cloud BigQuery;Oracle Database,AWS,Google Cloud;AWS;Azure,Google Cloud,Azure,Google Cloud,Azure
ANALYTICS SURVEY FSI,2020-09-30 19:40:55,jdybbedm@google.com,Japan,JP,Citizen Data Scientist,beginner,proficient,proficient,beginner,proficient,beginner,proficient,expert,beginner,competent,beginner,2,Amazon Redshift;Teradata,On-premise,Google Cloud;AWS,Google Cloud;AWS;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS",AWS;Azure
ANALYTICS SURVEY FSI,2020-04-17 22:13:33,bwaterdn@google.co.uk,Sweden,SE,Statistician,beginner,proficient,expert,expert,beginner,proficient,competent,proficient,expert,expert,beginner,2,Teradata,AWS,Google Cloud;AWS,Azure,AWS,AWS,On-premise;Azure
ANALYTICS SURVEY FSI,2020-08-23 07:21:32,alunddo@whitehouse.gov,Denmark,DK,Data Analyst,,none,beginner,,proficient,competent,none,expert,,beginner,proficient,,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Azure,,Google Cloud;On-premise;Azure,,Azure
ANALYTICS SURVEY JAN-21,2020-01-21 03:57:11,ldymokedp@boston.com,Sweden,SE,Data Scientist,proficient,none,competent,beginner,proficient,none,expert,competent,none,proficient,competent,2,Microsoft SQL Server,On-premise,Google Cloud;AWS,Azure,On-premise;AWS,Google Cloud;AWS;Azure,Google Cloud
ANALYTICS SURVEY JAN-21,2020-08-31 05:02:06,rheggdq@tinypic.com,Indonesia,ID,Physicist,none,beginner,beginner,none,beginner,beginner,beginner,beginner,beginner,none,competent,3,Amazon Redshift;Teradata,On-premise,Google Cloud;AWS,AWS Azure,Google Cloud;On-premise;Azure,On-premise,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-12-04 09:30:17,ohaughdr@plala.or.jp,Azerbaijan,AZ,Physicist,,none,competent,,competent,expert,beginner,expert,,expert,expert,,Amazon Redshift,Google Cloud,Google Cloud,,AWS;Azure,,On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-07-25 15:19:53,wclitsomeds@washingtonpost.com,Indonesia,ID,Physicist,expert,competent,proficient,proficient,expert,beginner,competent,proficient,beginner,beginner,expert,4,Amazon Redshift,On-premise,Google Cloud;AWS,Google Cloud;Azure,Google Cloud,Google Cloud;On-premise;Azure,AWS;Azure
ANALYTICS SURVEY FEB-21,2020-06-20 17:18:20,creidiedt@phoca.cz,Portugal,PT,Data Analyst,none,competent,competent,none,expert,beginner,none,competent,none,competent,proficient,2,Amazon Redshift,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;Azure,Google Cloud;AWS;Azure,On-premise,On-premise;AWS
ANALYTICS SURVEY RETAIL,2020-09-03 04:46:28,cwatermandu@weather.com,Chile,CL,Statistician,proficient,proficient,beginner,competent,beginner,none,none,expert,none,expert,proficient,3,Oracle Database,On-premise,Google Cloud;AWS,Google Cloud;AWS;Azure,On-premise,Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-05-28 21:32:36,bdoverdv@redcross.org,Philippines,PH,Data Engineer,none,none,beginner,competent,expert,expert,proficient,beginner,expert,expert,expert,4,Microsoft SQL Server,AWS,Google Cloud;AWS,Azure,AWS,AWS,AWS
ANALYTICS SURVEY FSI,2020-05-19 05:17:09,pnelthorpdw@msn.com,Honduras,HN,Citizen Data Scientist,proficient,proficient,proficient,none,competent,beginner,competent,beginner,beginner,none,expert,1,Teradata,Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,Google Cloud,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FSI,2020-10-11 00:04:49,lbaptistadx@uol.com.br,China,CN,Data Scientist,beginner,none,none,beginner,beginner,proficient,proficient,competent,none,expert,expert,3,Amazon Redshift;Teradata,AWS,Azure,Google Cloud;AWS,Azure,AWS,On-premise;AWS
ANALYTICS SURVEY FSI,2020-11-03 17:51:13,gberandy@mapy.cz,Brazil,BR,Citizen Data Scientist,competent,beginner,expert,proficient,beginner,expert,competent,competent,expert,proficient,expert,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud;AWS;Azure,Azure,On-premise;Azure,Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FEB-21,2020-02-20 21:09:15,tsalatinodz@acquirethisname.com,Philippines,PH,Citizen Data Scientist,none,expert,competent,expert,proficient,expert,proficient,expert,beginner,none,none,2,Google Cloud BigQuery,Google Cloud,Google Cloud;AWS;Azure,AWS,"Google Cloud;On-premise,AWS",On-premise,On-premise
ANALYTICS SURVEY JAN-21,2020-03-27 12:55:34,elehrere0@histats.com,Zambia,ZM,Statistician,none,proficient,none,expert,proficient,expert,competent,none,competent,beginner,competent,4,Microsoft SQL Server,On-premise,Google Cloud,Google Cloud;AWS,On-premise,On-premise;Azure,Google Cloud
ANALYTICS SURVEY FEB-21,2020-11-26 04:55:43,cmandrakee1@ihg.com,Poland,PL,Data Engineer,none,proficient,competent,expert,none,none,competent,competent,competent,proficient,none,1,Microsoft SQL Server,Google Cloud,Google Cloud,Google Cloud;Azure,Google Cloud;On-premise;Azure,On-premise;AWS,On-premise;Azure
ANALYTICS SURVEY FSI,2020-07-30 10:40:52,abortolie2@booking.com,United States,US,Physicist,competent,none,competent,none,proficient,competent,expert,competent,competent,expert,none,3,Google Cloud BigQuery,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;Azure,Google Cloud,On-premise;AWS,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FSI,2020-08-25 02:13:32,ghellicare3@taobao.com,Syria,SY,Statistician,competent,proficient,beginner,competent,none,none,proficient,proficient,none,competent,none,1,Google Cloud BigQuery,Google Cloud,Azure,Google Cloud;AWS,AWS,Google Cloud,Google Cloud
ANALYTICS SURVEY FSI,2020-06-27 00:33:04,seppe4@ucoz.ru,Mexico,MX,Citizen Data Scientist,none,proficient,none,expert,beginner,proficient,expert,proficient,proficient,proficient,beginner,1,Microsoft SQL Server,Azure,Google Cloud,AWS,Google Cloud;On-premise;Azure,Google Cloud,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-03-07 12:59:25,ebignalle5@instagram.com,Philippines,PH,Mathematician,none,beginner,expert,proficient,proficient,expert,expert,competent,none,beginner,beginner,2,Teradata,On-premise,Google Cloud;AWS,Google Cloud;Azure,On-premise;AWS,AWS;Azure,Azure
ANALYTICS SURVEY JAN-21,2020-10-05 07:40:41,cdambrosie6@gnu.org,Russia,RU,Data Analyst,competent,none,beginner,expert,expert,none,competent,beginner,none,competent,proficient,4,Microsoft SQL Server,Google Cloud,Google Cloud;AWS;Azure,Azure,AWS;Azure,Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-05-20 11:33:53,icousere7@dion.ne.jp,Peru,PE,Citizen Data Scientist,beginner,beginner,proficient,expert,proficient,none,beginner,none,competent,proficient,competent,1,Google Cloud BigQuery,On-premise,AWS;Azure,Google Cloud;Azure,On-premise;AWS,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY RETAIL,2020-03-15 02:11:57,agilhooliee8@kickstarter.com,Vietnam,VN,Citizen Data Scientist,none,none,expert,expert,none,beginner,competent,none,expert,beginner,beginner,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud;AWS,Azure,On-premise;AWS,Google Cloud;AWS;Azure,Azure
ANALYTICS SURVEY FEB-21,2020-05-05 05:40:25,dhaskette9@narod.ru,France,FR,Data Engineer,none,beginner,none,none,competent,beginner,competent,beginner,competent,expert,none,4,Amazon Redshift,Google Cloud,Google Cloud;AWS,AWS Azure,AWS,Google Cloud;AWS;Azure,Azure
ANALYTICS SURVEY FEB-21,2020-12-04 08:56:37,nrobetea@mayoclinic.com,China,CN,Data Scientist,proficient,beginner,beginner,expert,competent,competent,expert,proficient,competent,competent,beginner,2,Amazon Redshift;Teradata,On-premise,AWS,Google Cloud,Azure,"Google Cloud;On-premise,AWS",On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-05-31 06:37:46,equinneb@smugmug.com,Panama,PA,Data Scientist,beginner,expert,proficient,proficient,competent,none,beginner,competent,competent,none,expert,2,Amazon Redshift,On-premise,Google Cloud;AWS;Azure,Google Cloud,On-premise,On-premise;AWS,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-01-28 22:01:25,kcollymoreec@economist.com,Madagascar,MG,Statistician,competent,expert,expert,proficient,beginner,expert,competent,proficient,proficient,expert,competent,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud,Google Cloud;AWS,Azure,Google Cloud;AWS;Azure,Google Cloud
ANALYTICS SURVEY RETAIL,2020-02-14 10:31:00,dmazilliused@forbes.com,Indonesia,ID,Citizen Data Scientist,expert,expert,beginner,proficient,none,proficient,none,proficient,competent,none,beginner,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud,Google Cloud;AWS,Google Cloud;On-premise;Azure,On-premise;AWS,Google Cloud
ANALYTICS SURVEY FSI,2020-06-07 16:15:21,amulvanyee@squidoo.com,France,FR,Data Scientist,beginner,none,competent,beginner,proficient,none,none,expert,expert,beginner,proficient,1,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Azure,Google Cloud,Azure,On-premise;Azure,AWS
ANALYTICS SURVEY,2020-03-22 07:45:40,afilchakovef@newyorker.com,Nigeria,NG,Mathematician,beginner,expert,proficient,competent,expert,competent,expert,expert,competent,beginner,none,4,Google Cloud BigQuery,AWS,Azure,AWS,Azure,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-04-08 06:19:12,gitzkovwitcheg@hibu.com,Cameroon,CM,Physicist,beginner,competent,beginner,proficient,beginner,competent,proficient,competent,beginner,competent,proficient,2,Google Cloud BigQuery,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,On-premise,Azure,On-premise;Azure
ANALYTICS SURVEY,2020-04-18 06:43:30,csidwortheh@businessinsider.com,Bulgaria,BG,Physicist,beginner,none,none,proficient,none,expert,proficient,beginner,expert,beginner,none,2,Teradata,On-premise,Google Cloud;AWS;Azure,Google Cloud,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS",Google Cloud
ANALYTICS SURVEY JAN-21,2020-05-18 19:18:54,claingei@seattletimes.com,Spain,ES,Data Engineer,expert,expert,competent,competent,beginner,none,competent,expert,beginner,expert,competent,5,Microsoft SQL Server,On-premise,Google Cloud;AWS,Google Cloud,AWS,On-premise;AWS,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY RETAIL,2020-05-19 10:23:48,lbeardmoreej@twitpic.com,Japan,JP,Statistician,proficient,competent,proficient,beginner,beginner,expert,none,beginner,proficient,none,expert,1,Amazon Redshift;Teradata,AWS,AWS,AWS,AWS,AWS;Azure,On-premise
ANALYTICS SURVEY FEB-21,2020-11-16 04:59:55,rrickellek@behance.net,Russia,RU,Data Scientist,expert,beginner,competent,none,competent,expert,proficient,beginner,proficient,competent,competent,3,Amazon Redshift;Teradata,AWS,Google Cloud;AWS;Azure,AWS Azure,AWS;Azure,"Google Cloud;On-premise,AWS",Azure
ANALYTICS SURVEY JAN-21,2020-10-08 08:48:07,estolzel@auda.org.au,Indonesia,ID,Data Analyst,,expert,proficient,,expert,competent,beginner,beginner,,proficient,expert,,Oracle Database,Azure,Google Cloud;Azure,,AWS;Azure,,Google Cloud;On-premise;Azure
ANALYTICS SURVEY,2020-09-08 17:41:13,abendtsenem@nasa.gov,Palestinian Territory,PS,Statistician,none,beginner,proficient,proficient,none,proficient,competent,expert,beginner,proficient,beginner,5,Microsoft SQL Server,Azure,Google Cloud;AWS,Azure,AWS,Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY JAN-21,2020-07-06 20:48:45,lmcphelimen@digg.com,China,CN,Physicist,competent,proficient,competent,beginner,proficient,beginner,competent,expert,none,beginner,competent,5,Amazon Redshift,On-premise,Google Cloud;AWS,Azure,AWS,On-premise,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-02-28 01:02:22,cwillattseo@i2i.jp,Brazil,BR,Data Engineer,expert,none,none,none,beginner,expert,none,competent,proficient,expert,proficient,1,Teradata,Azure,AWS;Azure,Google Cloud;AWS,On-premise;AWS,Google Cloud;AWS;Azure,AWS;Azure
ANALYTICS SURVEY FSI,2020-09-07 05:13:18,pherreranep@gnu.org,Lithuania,LT,Mathematician,proficient,none,beginner,expert,expert,none,expert,proficient,proficient,expert,beginner,3,Microsoft SQL Server,On-premise,Google Cloud;Azure,AWS,Google Cloud,On-premise,AWS
ANALYTICS SURVEY RETAIL,2020-08-20 08:21:57,jtaleeq@bing.com,Indonesia,ID,Data Engineer,proficient,none,expert,competent,proficient,beginner,none,proficient,expert,expert,proficient,2,Microsoft SQL Server,Azure,Google Cloud,Google Cloud;AWS;Azure,On-premise;AWS,"Google Cloud;On-premise,AWS",On-premise;AWS
ANALYTICS SURVEY RETAIL,2020-05-01 05:33:20,iwapoler@home.pl,Czech Republic,CZ,Statistician,competent,proficient,competent,proficient,proficient,none,expert,beginner,proficient,none,proficient,2,Microsoft SQL Server,Azure,AWS,Google Cloud;AWS,AWS,Google Cloud;AWS;Azure,Google Cloud
ANALYTICS SURVEY,2020-05-07 09:41:40,trouches@scientificamerican.com,Venezuela,VE,Citizen Data Scientist,expert,none,expert,none,proficient,beginner,none,beginner,competent,none,competent,1,Teradata,AWS,Google Cloud;Azure,Google Cloud;Azure,On-premise;AWS,On-premise;AWS,AWS
ANALYTICS SURVEY JAN-21,2020-11-21 20:27:36,efonteset@npr.org,Iran,IR,Data Scientist,expert,proficient,none,proficient,competent,proficient,expert,none,proficient,beginner,competent,4,Microsoft SQL Server,Google Cloud,Google Cloud;AWS;Azure,Google Cloud;AWS,Azure,AWS,AWS;Azure
ANALYTICS SURVEY,2020-09-09 19:11:01,mstevingseu@icq.com,Finland,FI,Data Analyst,none,beginner,beginner,competent,expert,none,none,beginner,none,competent,proficient,4,Microsoft SQL Server,AWS,AWS;Azure,AWS Azure,On-premise;AWS,Azure,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-12-06 11:28:25,theeleyev@discovery.com,Indonesia,ID,Data Scientist,competent,beginner,expert,expert,proficient,proficient,none,expert,expert,none,none,3,Google Cloud BigQuery,Google Cloud,AWS;Azure,Azure,On-premise;AWS,On-premise;Azure,Google Cloud
ANALYTICS SURVEY FEB-21,2020-04-09 17:21:13,cnickersonew@tinyurl.com,Philippines,PH,Data Scientist,proficient,proficient,expert,competent,expert,competent,expert,expert,none,competent,expert,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Azure,Azure,Azure,AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-02-11 02:42:19,mpattesallex@twitter.com,Mongolia,MN,Data Scientist,none,none,expert,proficient,proficient,beginner,none,beginner,expert,beginner,proficient,2,Google Cloud BigQuery,Azure,Azure,Google Cloud,On-premise,Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY,2020-01-29 01:31:45,ssherwiney@vinaora.com,China,CN,Data Analyst,proficient,proficient,expert,beginner,beginner,expert,proficient,competent,beginner,none,proficient,1,Microsoft SQL Server,On-premise,Google Cloud,AWS Azure,Google Cloud;On-premise;Azure,On-premise,Azure
ANALYTICS SURVEY,2020-12-02 02:19:07,fdanovichez@google.es,Colombia,CO,Data Scientist,expert,beginner,beginner,competent,competent,competent,none,beginner,proficient,beginner,proficient,4,Amazon Redshift,Google Cloud,AWS,Google Cloud;AWS,AWS,Google Cloud,AWS;Azure
ANALYTICS SURVEY JAN-21,2020-07-05 13:18:42,mpeartf0@ucoz.ru,China,CN,Citizen Data Scientist,beginner,none,expert,competent,competent,beginner,beginner,competent,beginner,none,none,1,Google Cloud BigQuery,AWS,Google Cloud,Google Cloud;Azure,AWS,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure
